G,PER,TS%,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,TOV,PPG,RPG,APG,SPG,BPG,name,MVP Awards,1st Team,2nd Team,3rd Team,All-NBA Teams,All Star Selections,isHOF
356,13.7,0.5174000000000001,0.2452,9.28,7.340000000000001,0.9200000000000002,0.41999999999999993,14.271059135941162,19.463895112016225,13.2,-3.0799999999999996,-0.34,1609,3347,0.4798,111.07518360014794,318.02240185977706,0.2487963155163492,611,804,462.81949605497584,10.75561797752809,4.129213483146067,1.0393258426966292,0.4438202247191011,0.19382022471910113,Aaron James,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957,11.447058823529412,0.49305882352941177,0.21447058823529414,8.041176470588235,16.58823529411765,2.5235294117647067,0.6470588235294118,16.81176470588235,14.170588235294119,44.900000000000006,-0.21764705882352947,0.823529411764706,2554,5923,0.4235294117647059,441.0,1275.0,0.29863507738331463,1087,1389,1225.0,6.934169278996865,3.175548589341693,2.5726227795193313,1.1389759665621735,0.20794148380355276,Aaron McKie,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6.0,0.405,0.222,6.6,29.5,1.7,0.6,35.8,11.6,0.0,-8.2,-0.2,6,18,0.33299999999999996,0.0,0.0,0.2487963155163492,4,4,11.0,0.8421052631578947,0.7368421052631579,1.263157894736842,0.21052631578947367,0.05263157894736842,Aaron Miles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,11.7,0.594,0.278,9.0,9.0,1.0,0.0,19.8,21.4,0.0,-5.8,0.0,10,18,0.556,0.0,0.0,0.2487963155163492,4,5,5.0,2.6666666666666665,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.0,Aaron Swinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838,11.120000000000001,0.53225,0.34685,13.930000000000001,5.155000000000001,1.1650000000000005,3.9050000000000002,17.605,17.73,31.7,-4.545,0.12999999999999998,1777,3577,0.48650000000000004,1.0,17.0,0.12860834198235713,1063,1442,742.0,5.5107398568019095,3.7875894988066827,0.6264916467780429,0.3818615751789976,0.7124105011933174,Aaron Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,17.1,0.5389999999999999,0.4305,11.65,10.399999999999999,1.7,1.7000000000000002,14.55,24.05,5.4,-1.0999999999999999,0.3,475,1005,0.4675,0.0,7.0,0.0,340,424,204.0,9.020979020979022,3.4965034965034967,1.118881118881119,0.5874125874125874,0.4965034965034965,Abdul Jeelani,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,11.533333333333331,0.4443333333333333,0.4651666666666667,12.366666666666665,5.2,1.7666666666666668,3.4499999999999997,12.850000000000001,23.7,0.3,-6.983333333333333,-0.6333333333333333,428,1076,0.38466666666666666,0.0,14.0,0.0829321051721164,312,471,205.0,4.866666666666666,2.5541666666666667,0.3375,0.325,0.6416666666666667,Acie Earl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,11.122222222222224,0.507888888888889,0.51,4.444444444444445,18.11111111111111,2.1333333333333333,0.36666666666666664,16.53333333333333,18.944444444444443,2.6,-5.155555555555555,-0.2888888888888889,379,898,0.4138888888888889,38.0,167.0,0.20688888888888887,257,334,205.0,3.973584905660377,1.0377358490566038,1.5811320754716982,0.47547169811320755,0.018867924528301886,Acie Law,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,6.400000000000001,0.38333333333333336,0.10866666666666669,3.9333333333333336,16.266666666666666,1.0,0.9,5.0,17.8,0.1,-8.033333333333333,-0.06666666666666667,22,74,0.294,10.0,28.0,0.3513333333333333,6,8,4.0,1.5789473684210527,0.42105263157894735,0.631578947368421,0.10526315789473684,0.05263157894736842,Adam Harrington,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,12.244444444444445,0.5442222222222222,0.5355555555555556,14.544444444444444,6.255555555555556,1.5444444444444443,1.333333333333333,17.266666666666666,14.433333333333334,24.9,-0.8111111111111112,0.5444444444444445,1120,2230,0.48488888888888887,1.0,14.0,0.1199321051721164,866,1213,545.0,5.035656401944895,4.1426256077795784,0.6920583468395461,0.49756888168557534,0.28038897893030795,Adam Keefe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
